time,s19
2023-07-24 07:35:59,100.0
2023-07-24 07:36:00,100.0
2023-07-24 07:36:05,100.0
2023-07-24 07:36:06,100.0
2023-07-24 07:36:07,100.0
2023-07-24 07:36:08,100.0
2023-07-24 07:36:13,100.0
2023-07-24 07:36:14,100.0
2023-07-24 07:36:15,100.0
2023-07-24 07:36:16,100.0
2023-07-24 07:36:21,100.0
2023-07-24 07:36:22,100.0
2023-07-24 07:36:23,100.0
2023-07-24 07:36:24,100.0
2023-07-24 07:36:29,100.0
2023-07-24 07:36:30,100.0
2023-07-24 07:36:31,100.0
2023-07-24 07:36:32,100.0
2023-07-24 07:36:37,100.0
2023-07-24 07:36:38,100.0
2023-07-24 07:36:39,100.0
2023-07-24 07:36:40,100.0
2023-07-24 07:36:45,100.0
2023-07-24 07:36:46,100.0
2023-07-24 07:36:47,100.0
2023-07-24 07:36:48,100.0
2023-07-24 07:36:53,100.0
2023-07-24 07:36:54,100.0
2023-07-24 07:36:55,100.0
2023-07-24 07:36:56,100.0
2023-07-24 07:37:01,100.0
2023-07-24 07:37:02,100.0
2023-07-24 07:37:03,100.0
2023-07-24 07:37:04,100.0
2023-07-24 07:37:09,100.0
2023-07-24 07:37:10,100.0
2023-07-24 07:37:11,100.0
2023-07-24 07:37:12,100.0
2023-07-24 07:37:17,100.0
2023-07-24 07:37:18,100.0
2023-07-24 07:37:19,100.0
2023-07-24 07:37:20,100.0
2023-07-24 07:37:25,100.0
2023-07-24 07:37:26,100.0
2023-07-24 07:37:33,100.0
2023-07-24 07:37:34,100.0
2023-07-24 07:37:35,100.0
2023-07-24 07:37:36,100.0
2023-07-24 07:37:41,100.0
2023-07-24 07:37:42,100.0
2023-07-24 07:37:43,100.0
2023-07-24 07:37:44,100.0
2023-07-24 07:37:49,100.0
2023-07-24 07:37:50,100.0
2023-07-24 07:37:51,100.0
2023-07-24 07:37:52,100.0
2023-07-24 07:37:57,100.0
2023-07-24 07:37:58,100.0
2023-07-24 07:37:59,100.0
2023-07-24 07:38:00,100.0
2023-07-24 07:38:05,100.0
2023-07-24 07:38:06,100.0
2023-07-24 07:38:07,100.0
2023-07-24 07:38:08,100.0
2023-07-24 07:38:17,100.0
